"Valid Values","Description","source"
"onychocyte","A terminally differentiated, specialized keratinocyte originating primarily from the nail matrix. During onychokeratinization, these cells undergo progressive flattening and produce high levels of hard, disulfide cross-linked keratins (Eckhart et al., 2024) that form the rigid, compact nail plate. Unlike epidermal keratinocytes, onychocytes are firmly integrated into the nail plate and do not desquamate.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"luminal adaptive secretory precursor cell of mammary gland","A luminal epithelial cell of the mammary gland that can proliferate and has the potential to differentiate into a lactocyte during pregnancy. In humans, a luminal adaptive secretory precursor cell can be identified by high levels of the markers EpCAM and CD49f, and in mice it can be identified by low levels of CD29 and high levels of CD14, Kit, CD61, and Tspan8. Synonyms: ER-negative luminal alveolar progenitor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"luminal hormone-sensing cell of mammary gland","A luminal epithelial cell of the mammary gland that transduces endocrine cues to orchestrate proliferation, architectural remodeling, and differentiation of other cells in the mammary gland via paracrine signaling. This cell expresses high levels of estrogen receptors. In humans, a luminal hormone-sensing cell can be identified by high levels of EpCAM and low levels of CD49f, and in mice it can be identified by low levels of CD29 and high levels of Foxa1, CD133, and Sca1 (Ly6a). Synonyms: ER-positive luminal hormone-sensor cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lactocyte type 1","A lactocyte that highly expresses genes associated with transcription, immune cell function, and cellular stress. A lactocyte type 1 also expresses genes involved in milk component biosynthesis (e.g., LALBA and CSNs), albeit at lower levels than a lactocyte type 2.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lactocyte type 2","A lactocyte that highly expresses genes associated with lipid production and milk component biosynthesis.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endothelial cell of central vein of liver","An endothelial cell that is part of a central vein of liver.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"interstitial extravillous trophoblast cell","A trophoblast cell that invades the uterine wall to anchor the placenta to the uterus. An interstitial extravillous trophoblast cell differentiates from an extravillous trophoblast cell, becoming hyperchromatic and changing its morphology to a fibroblast-like spindle-shaped cell. In humans, this cell can be distinguished by the expression of placental-specific protein 8, which stimulates migration. Synonyms: invasive interstitial extravillous trophoblast cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endovascular extravillous trophoblast cell","A trophoblast cell that invades the maternal spiral arteries and replace the endothelial lining, remodeling the vessels and allowing for adequate blood transport into the placenta. An endovascular extravillous trophoblast cell differentiates from an extravillous trophoblast cell. In humans, this cell can be distinguished by the expression of CD56.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"uterine resident macrophage","A tissue-resident macrophage that is part of the uterus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"preplasmablast","A mature B cell that serves as an intermediate stage in the differentiation of naive B cells into a plasmablast. A preplasmablast expresses CD30 and IL-6R and lacks expression of CD20, CD23, CD38 and CD138. Synonyms: pre-plasmablast, preplasmablastic cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pre-granulosa cell","A supporting cell that is part of the ovary and differentiates into a granulosa cell. A pre-granulosa cell develops from an early supporting gonadal cell by repressing testis determination, which can then proliferate to form primordial follicles. Synonyms: ovarian pregranulosa cell, pregranulosa cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mural granulosa cell","A follicular cell of ovary that differentiates from a cuboidal granulosa cell during the secondary follicle stage. Mural granulosa cells line the inner surface of the follicle wall, surrounding the fluid-filled antral cavity. These cells produce oestrogen during the follicular phase in response to follicle-stimulating hormone (FSH), and progesterone after ovulation in response to luteinizing hormone (LH).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling B cell","A(n) B cell that is cycling. Synonyms: proliferating B cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling T cell","A(n) T cell that is cycling. Synonyms: proliferating T cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling dendritic cell","A(n) dendritic cell that is cycling. Synonyms: proliferating dendritic cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling natural killer cell","A(n) natural killer cell that is cycling. Synonyms: proliferating natural killer cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling gamma-delta T cell","A(n) gamma-delta T cell that is cycling. Synonyms: proliferating gamma-delta T cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling monocyte","A(n) monocyte that is cycling. Synonyms: proliferating monocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling CD8-positive, alpha-beta T cell","A(n) CD8-positive, alpha-beta T cell that is cycling. Synonyms: proliferating CD8-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling CD4-positive, alpha-beta T cell","A(n) CD4-positive, alpha-beta T cell that is cycling. Synonyms: proliferating CD4-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling macrophage","A(n) macrophage that is cycling. Synonyms: proliferating macrophage","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling alveolar macrophage","A(n) alveolar macrophage that is cycling. Synonyms: proliferating alveolar macrophage","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling mononuclear phagocyte","A(n) mononuclear phagocyte that is cycling. Synonyms: proliferating mononuclear phagocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling endothelial cell of lymphatic vessel","A(n) endothelial cell of lymphatic vessel that is cycling. Synonyms: proliferating endothelial cell of lymphatic vessel","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling pulmonary alveolar type 2 cell","A(n) pulmonary alveolar type 2 cell that is cycling. Synonyms: proliferating pulmonary alveolar type 2 cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling myeloid cell","A(n) myeloid cell that is cycling. Synonyms: proliferating myeloid cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cycling basal cell","A(n) basal cell that is cycling. Synonyms: proliferating basal cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"squamous granulosa cell","A granulosa cell that has a squamous morphology and form a single layer around the oocyte in primordial follicles. This cell develops directly into a cuboidal granulosa cell during the primordial-to-primary follicle transition. Synonyms: flattened granulosa cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cuboidal granulosa cell","A granulosa cell that has a cuboidal morphology and develops from squamous granulosa cell during the transition between primordial follicle to primary follicle. Cuboidal granulosa cells proliferate to form a second layer within secondary follicles. Synonyms: columnar granulosa cell, cuboidal epithelial granulosa cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"diffuse bipolar 5 cell","An ON diffuse bipolar cell that stratifies in the stratum 3 of the inner plexiform layer to make synapses with ON parasol ganglion cells. A diffuse bipolar 5 cell has high expression of MYO16 compared with other bipolar cells.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lipid-associated macrophage","A tissue-resident macrophage that is associated with lipids. This cell responsible of anti-inflammatory functions, lipid accumulation and enhancing phagocytosis (Wculek et al., 2022, Liu et al., 2022). In mice and humans, a lipid-associated macrophage is characterized by the marker Trem2 (Jaitlin et al., 2019).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"placental resident macrophage","A tissue-resident macrophage that is part of the placenta. This cell helps preventing immunological rejection of the fetus by modulating the immune environment. A placental resident macrophage has high plasticity to adapt to the changing needs of each phase of pregnancy.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"decidual resident macrophage","A resident macrophage that is part of the decidua. Some decidual macrophages are derived from maternal blood monocytes that are recruited to the uterus shortly after conception. The main functions of a decidual macrophage are implantation, placental development, immune regulation and vascular remodeling.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"atretic follicular cell of ovary","A follicular cell of ovary that has begun to degenerate and undergo atresia, a specialized apoptosis. This cell is found in an atretic follicle, which is an ovarian follicle that started to mature but failed to reach full development and instead regresses.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"atretic granulosa cell","A granulosa cell that is undergoing atresia. This cell type displays distinct morphological alterations compared with a healthy granulosa cell, including pyknosis (nuclear condensation) and cellular shrinkage.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD57-positive enterocyte","An enterocyte that is part of a duodenal epithelium and expresses beta-1,3-glucuronyltransferase 1 (B3GAT1), also known as CD57 or HNK-1. Synonyms: CD57+ enterocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"limbal epithelial stem cell of cornea","A stem cell that is part of the corneo-scleral limbus. This cell type resides at the basal layer of the epithelium and has a small size and high nuclear to cytoplasmatic ratio (Secker and Daniels, 2009). A limbal stem cell is responsible for corneal epithelial renewal and repair (Li et al., 2023), and to help maintain a clear corneal surface by preventing conjunctival epithelial cells from migrating onto the cornea (Wang et al., 2023). Synonyms: limbal epithelial stem cell, limbal stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"age-associated B cell","A transcriptionally distinct memory B cell whose presence increases with age, during infections, and in autoimmune diseases. In humans and mice, this cell type can be identified by the expression of T-bet, CD11c, CD11b, and the lack of CD21. An age-associated B cell responds to TLR stimuli, may produce autoantibodies, and participates in antiviral responses and pathogen clearance.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
